,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
10,,1820399,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(N[C@@H](CO)c1ccc(F)c(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '14.86', 'le': '0.30', 'lle': '1.84', 'sei': '7.27'}",CHEMBL220574,,CHEMBL220574,6.82,False,http://www.openphacts.org/units/Nanomolar,626615,=,1,True,=,,Ki,nM,,150.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.15
11,,1820400,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '18.94', 'le': '0.38', 'lle': '3.72', 'sei': '9.27'}",CHEMBL387385,,CHEMBL387385,8.70,False,http://www.openphacts.org/units/Nanomolar,626614,=,1,True,=,,Ki,nM,,2.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.002
12,,1820401,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1ccc(F)c(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.90', 'le': '0.36', 'lle': '3.24', 'sei': '8.77'}",CHEMBL220054,,CHEMBL220054,8.22,False,http://www.openphacts.org/units/Nanomolar,626613,=,1,True,=,,Ki,nM,,6.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.006
13,,1820402,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.14', 'le': '0.36', 'lle': '2.65', 'sei': '8.69'}",CHEMBL220897,,CHEMBL220897,8.15,False,http://www.openphacts.org/units/Nanomolar,626612,=,1,True,=,,Ki,nM,,7.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.007
14,,1820403,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.29', 'le': '0.34', 'lle': '3.19', 'sei': '8.16'}",CHEMBL219790,,CHEMBL219790,7.66,False,http://www.openphacts.org/units/Nanomolar,626611,=,1,True,=,,Ki,nM,,22.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.022
15,,1820404,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1cccc(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.93', 'le': '0.35', 'lle': '3.29', 'sei': '8.12'}",CHEMBL219849,,CHEMBL219849,7.62,False,http://www.openphacts.org/units/Nanomolar,626610,=,1,True,=,,Ki,nM,,24.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.024
16,,1820405,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1ccccc1F)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '15.58', 'le': '0.30', 'lle': '2.29', 'sei': '7.06'}",CHEMBL219988,,CHEMBL219988,6.62,False,http://www.openphacts.org/units/Nanomolar,626609,=,1,True,=,,Ki,nM,,240.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.24
17,,1820406,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1ccc(C(F)(F)F)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '15.49', 'le': '0.30', 'lle': '2.15', 'sei': '7.84'}",CHEMBL222465,,CHEMBL222465,7.36,False,http://www.openphacts.org/units/Nanomolar,626608,=,1,True,=,,Ki,nM,,44.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.044
18,,1820407,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1ccc(Cl)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.80', 'le': '0.36', 'lle': '3.01', 'sei': '8.37'}",CHEMBL375544,,CHEMBL375544,7.85,False,http://www.openphacts.org/units/Nanomolar,626607,=,1,True,=,,Ki,nM,,14.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.014
19,,1820408,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC(CO)c1ccc(F)cc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '16.95', 'le': '0.33', 'lle': '2.87', 'sei': '7.68'}",CHEMBL374677,,CHEMBL374677,7.20,False,http://www.openphacts.org/units/Nanomolar,626606,=,1,True,=,,Ki,nM,,63.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.063
20,,1820409,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NC1c2ccccc2CC1O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '12.89', 'le': '0.25', 'lle': '1.29', 'sei': '5.75'}",CHEMBL220174,,CHEMBL220174,5.40,False,http://www.openphacts.org/units/Nanomolar,626605,=,1,True,=,,Ki,nM,,4000.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,4.0
21,,1820410,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,CNC(=O)[C@@H](NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '12.99', 'le': '0.25', 'lle': '1.70', 'sei': '5.49'}",CHEMBL220096,,CHEMBL220096,5.64,False,http://www.openphacts.org/units/Nanomolar,626604,=,1,True,=,,Ki,nM,,2300.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,2.3
22,,1820411,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,NC(=O)[C@@H](NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '14.99', 'le': '0.29', 'lle': '2.61', 'sei': '5.39'}",CHEMBL220888,,CHEMBL220888,6.29,False,http://www.openphacts.org/units/Nanomolar,626603,=,1,True,=,,Ki,nM,,510.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.51
23,,1820412,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(N[C@H](C(=O)O)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,,CHEMBL219627,,CHEMBL219627,,False,http://www.openphacts.org/units/Nanomolar,626602,>,1,True,>,,Ki,nM,,5000.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,5.0
24,,1820413,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(N[C@H](CO)c1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '18.33', 'le': '0.35', 'lle': '3.27', 'sei': '7.95'}",CHEMBL220112,,CHEMBL220112,7.46,False,http://www.openphacts.org/units/Nanomolar,626601,=,1,True,=,,Ki,nM,,35.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.035
25,,1820414,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,C[C@H](NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '15.81', 'le': '0.30', 'lle': '0.96', 'sei': '8.40'}",CHEMBL221117,,CHEMBL221117,6.18,False,http://www.openphacts.org/units/Nanomolar,626600,=,1,True,=,,Ki,nM,,660.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.66
26,,1820415,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,C[C@@H](NC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)c1ccccc1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.91', 'le': '0.34', 'lle': '1.78', 'sei': '9.51'}",CHEMBL373628,,CHEMBL373628,7.00,False,http://www.openphacts.org/units/Nanomolar,626599,=,1,True,=,,Ki,nM,,100.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.1
27,,1820416,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NOCc1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.23', 'le': '0.33', 'lle': '2.18', 'sei': '8.18'}",CHEMBL220272,,CHEMBL220272,6.77,False,http://www.openphacts.org/units/Nanomolar,626598,=,1,True,=,,Ki,nM,,170.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.17
28,,1820417,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NCCc1cccnc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '16.54', 'le': '0.32', 'lle': '2.39', 'sei': '7.50'}",CHEMBL373448,,CHEMBL373448,6.48,False,http://www.openphacts.org/units/Nanomolar,626597,=,1,True,=,,Ki,nM,,330.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.33
29,,1820418,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)N1CCc2ccccc2C1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '15.62', 'le': '0.30', 'lle': '1.37', 'sei': '9.71'}",CHEMBL375621,,CHEMBL375621,6.29,False,http://www.openphacts.org/units/Nanomolar,626596,=,1,True,=,,Ki,nM,,510.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.51
30,,1820419,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,COc1ccc(CNC(=O)c2cc(-c3[nH]ncc3-c3cccc(Cl)c3)c[nH]2)cc1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '15.51', 'le': '0.30', 'lle': '1.65', 'sei': '7.62'}",CHEMBL223471,,CHEMBL223471,6.31,False,http://www.openphacts.org/units/Nanomolar,626595,=,1,True,=,,Ki,nM,,490.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.49
31,,1820420,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NCc1ccc(F)c(F)c1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.92', 'le': '0.35', 'lle': '2.47', 'sei': '10.06'}",CHEMBL222249,,CHEMBL222249,7.40,False,http://www.openphacts.org/units/Nanomolar,626594,=,1,True,=,,Ki,nM,,40.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.04
32,,1820421,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,CN(Cc1ccccc1)C(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '16.26', 'le': '0.31', 'lle': '1.36', 'sei': '9.81'}",CHEMBL373797,,CHEMBL373797,6.36,False,http://www.openphacts.org/units/Nanomolar,626593,=,1,True,=,,Ki,nM,,440.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.44
33,,1820422,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NCc1ccncc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.99', 'le': '0.34', 'lle': '2.75', 'sei': '7.86'}",CHEMBL221109,,CHEMBL221109,6.80,False,http://www.openphacts.org/units/Nanomolar,626592,=,1,True,=,,Ki,nM,,160.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.16
34,,1820423,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NCc1cccnc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.57', 'le': '0.34', 'lle': '2.59', 'sei': '7.68'}",CHEMBL220343,,CHEMBL220343,6.64,False,http://www.openphacts.org/units/Nanomolar,626591,=,1,True,=,,Ki,nM,,230.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.23
35,,1820424,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NCc1ccccc1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '18.75', 'le': '0.36', 'lle': '2.41', 'sei': '9.60'}",CHEMBL220320,,CHEMBL220320,7.07,False,http://www.openphacts.org/units/Nanomolar,626590,=,1,True,=,,Ki,nM,,86.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.086
36,,1820425,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(Nc1ccccc1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '15.71', 'le': '0.30', 'lle': '0.72', 'sei': '7.75'}",CHEMBL220882,,CHEMBL220882,5.70,False,http://www.openphacts.org/units/Nanomolar,626589,=,1,True,=,,Ki,nM,,2000.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,2.0
37,,1820426,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,CCN1CCCC1CNC(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,,CHEMBL373646,,CHEMBL373646,,False,http://www.openphacts.org/units/Nanomolar,626588,>,1,True,>,,Ki,nM,,10000.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,10.0
38,,1820427,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(NCC1CCCO1)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '17.17', 'le': '0.33', 'lle': '2.74', 'sei': '7.69'}",CHEMBL219683,,CHEMBL219683,6.37,False,http://www.openphacts.org/units/Nanomolar,626587,=,1,True,=,,Ki,nM,,430.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.43
39,,1820428,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)N1CCOCC1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '16.99', 'le': '0.33', 'lle': '2.86', 'sei': '8.19'}",CHEMBL374876,,CHEMBL374876,6.06,False,http://www.openphacts.org/units/Nanomolar,626586,=,1,True,=,,Ki,nM,,870.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.87
40,,1820429,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,O=C(c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1)N1CCCC1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '19.66', 'le': '0.38', 'lle': '2.74', 'sei': '10.34'}",CHEMBL220110,,CHEMBL220110,6.70,False,http://www.openphacts.org/units/Nanomolar,626585,=,1,True,=,,Ki,nM,,200.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.2
41,,1820430,[],CHEMBL917079,Inhibition of ERK2 by spectrophotometric coupled-enzyme assay,B,BAO_0000192,BAO_0000357,single protein format,CCN(C)C(=O)c1cc(-c2[nH]ncc2-c2cccc(Cl)c2)c[nH]1,,,CHEMBL1142871,J. Med. Chem.,2007.0,"{'bei': '18.97', 'le': '0.37', 'lle': '2.42', 'sei': '9.63'}",CHEMBL375525,,CHEMBL375525,6.24,False,http://www.openphacts.org/units/Nanomolar,626584,=,1,True,=,,Ki,nM,,580.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,0.58
42,,1824539,[],CHEMBL913851,Inhibition of Erk2,B,BAO_0000192,BAO_0000357,single protein format,CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2,,,CHEMBL1142994,J. Med. Chem.,2007.0,,CHEMBL223460,,CHEMBL223460,,False,http://www.openphacts.org/units/Nanomolar,628438,>,1,True,>,,Ki,nM,,10000.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,10.0
43,,1824714,[],CHEMBL913851,Inhibition of Erk2,B,BAO_0000192,BAO_0000357,single protein format,N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2,,,CHEMBL1142994,J. Med. Chem.,2007.0,"{'bei': '11.35', 'le': '0.22', 'lle': '1.74', 'sei': '3.67'}",CHEMBL373598,,CHEMBL373598,5.09,False,http://www.openphacts.org/units/Nanomolar,628405,=,1,True,=,,Ki,nM,,8210.0,CHEMBL4040,Homo sapiens,MAP kinase ERK2,9606,,,Ki,uM,UO_0000065,,8.21
