mol,name,pKi,CSAR_exercise_number,crystal,Crystal designation,good crystal,Series,setup in 3D,Blinded_ID_ligand,Blinded_ID_crystal,Vertex name,canonical_smiles,BindingDB,ChemBL affinity,PDBID,CSAR pIC50,x-ray struc. (y/n),Crystal disposition
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC)c1ccccc1,erk000046,7.23,,no,,,series_1,,erk_ligand_1250,,erk000046, CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7.23,,
O=C(NCc1ccccc1)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000047,7.05,,no,,,series_1,,erk_ligand_1038,,erk000047, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3ccccc3,,,,7.05,,
OC[C@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC)c1ccccc1,erk000048,4.89,,no,,,series_1,,erk_ligand_1232,,erk000048, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@@H](CO)c3ccccc3,,,,4.89,,
O1c2cc(ccc2OC1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1)Nc1ccccc1,erk000049,6.57,,no,,,series_1,,erk_ligand_1251,,erk000049, O=C(NCc1ccc2OCOc2c1)c3cc(c[nH]3)c4ccnc(Nc5ccccc5)n4,,,,6.57,,
Clc1cc(Cl)ccc1CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC,erk000054,5.7,,no,,,series_1,,erk_ligand_1053,,erk000054, CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)NCc3ccc(Cl)cc3Cl,,,,5.7,,
Clc1cc(Cl)ccc1CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000055,5.17,,no,,,series_1,,erk_ligand_1191,,erk000055, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccc(Cl)cc3Cl,,,,5.17,,
Fc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC,erk000056,5.43,,no,,,series_1,,erk_ligand_1023,,erk000056, CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)NCc3ccc(F)c(F)c3,,,,5.43,,
O=C(N1CCc2c(C1)cccc2)c1[nH]cc(c1)-c1nc(ncc1)Nc1ccccc1,erk000057,6.28,,no,,,series_1,,erk_ligand_1218,,erk000057, O=C(N1CCc2ccccc2C1)c3cc(c[nH]3)c4ccnc(Nc5ccccc5)n4,,,,6.28,,
O=C(N1CCc2c(C1)cccc2)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000058,5.8,,no,,,series_1,,erk_ligand_1114,,erk000058, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N3CCc4ccccc4C3,,,,5.8,,
O=C(N(Cc1ccccc1)C)c1[nH]cc(c1)-c1nc(ncc1)Nc1ccccc1,erk000059,6.52,,no,,,series_1,,erk_ligand_1262,,erk000059, CN(Cc1ccccc1)C(=O)c2cc(c[nH]2)c3ccnc(Nc4ccccc4)n3,,,,6.52,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1CC)NCC)c1ccccc1,erk000060,6.92,,no,,,series_1,,erk_ligand_1164,,erk000060, CCNc1ncc(CC)c(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,6.92,,
FC(F)(F)c1cc(ccc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000062,6.85,,no,,,series_1,,erk_ligand_1110,,erk000062, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3cccc(c3)C(F)(F)F,,,,6.85,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1CC)N)c1ccccc1,erk000065,6.54,,no,,,series_1,,erk_ligand_1104,,erk000065, CCc1cnc(N)nc1c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,6.54,,
O1c2cc(ccc2OC1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000066,6.85,,no,,,series_1,,erk_ligand_1167,,erk000066, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccc4OCOc4c3,,,,6.85,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1)N)c1ccccc1,erk000067,6.49,,no,,,series_1,,erk_ligand_1206,,erk000067, Nc1nccc(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,6.49,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1)NCC)c1ccccc1,erk000068,7,,yes,stop (no data),,series_1,yes,erk2_ligand_13,erk2_crystal_32,erk000068, CCNc1nccc(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7,yes,Discard -fails metrics
O=C(NCc1c2c(ccc1)cccc2)c1[nH]cc(c1)-c1nc(ncc1CC)N,erk000070,5.96,5,no,,,series_1,yes,erk_ligand_1248,,erk000070, CCc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3cccc4ccccc34,,,,5.96,,
Clc1ccc(cc1)-c1n[nH]c2c1CCCC2,erk000071,5.28,36,yes,GO (2.0A),good,series_3,yes,erk2_ligand_2,erk2_crystal_23,erk000071, Clc1ccc(cc1)c2n[nH]c3CCCCc23,,,,5.2800002,yes,PDB
o1nc(c(-c2nc(ncc2)NC2CCC(O)CC2)c1C)-c1ccccc1,erk000075,6,24,yes,GO,good,series_2,yes,erk2_ligand_10,erk2_crystal_5,erk000075, Cc1onc(c2ccccc2)c1c3ccnc(NC4CCC(O)CC4)n3,,,,6,yes,CSAR
o1nc(c(-c2nn(cc2)C(=O)NC(C)C)c1C)-c1ccccc1,erk000088,4.82,21,yes,stop (no data),,series_2,yes,erk2_ligand_9,erk2_crystal_11,erk000088, CC(C)NC(=O)n1ccc(n1)c2c(C)onc2c3ccccc3,,,,4.8200002,yes,Discard -fails metrics
Clc1cc(ccc1)-c1cn[nH]c1-c1cc([nH]c1)C(=O)NCc1ccccc1,erk000092,7.07,30,yes,,,series_2,yes,erk2_ligand_28,erk2_crystal_16,erk000092, Clc1cccc(c1)c2cn[nH]c2c3c[nH]c(c3)C(=O)NCc4ccccc4,,,,7.0700002,yes,Discard - poor ligand density
O=C(NCc1ccccc1)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000103,6.08,,yes,stop (2.7A),,series_1,yes,erk2_ligand_17,erk2_crystal_28,erk000103, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccccc3,,,,6.0799999,yes,Discard -fails metrics
Clc1cc(cc(Cl)c1)-c1cn[nH]c1-c1cc([nH]c1)C(=O)NCc1ccncc1,erk000114,7.1,31,yes,,,series_2,yes,erk2_ligand_14,erk2_crystal_10,erk000114, Clc1cc(Cl)cc(c1)c2cn[nH]c2c3c[nH]c(c3)C(=O)NCc4ccncc4,,,,7.0999999,yes,Discard - poor ligand density
Clc1cc(cc(Cl)c1)-c1cn[nH]c1-c1cc([nH]c1)C(=O)N1CCOCC1,erk000124,6.09,25,yes,GO,good,series_2,yes,erk2_ligand_25,erk2_crystal_1,erk000124, Clc1cc(Cl)cc(c1)c2cn[nH]c2c3c[nH]c(c3)C(=O)N4CCOCC4,,,,6.0900002,yes,CSAR
Fc1ccc(cc1)-c1n[nH]cc1-c1cc(ncc1)NC1CCCCC1,erk000125,5.59,27,yes,,,series_2,yes,erk2_ligand_4,erk2_crystal_25,erk000125, Fc1ccc(cc1)c2n[nH]cc2c3ccnc(NC4CCCCC4)c3,,,,5.5900002,yes,CSAR
Clc1cc(ccc1F)-c1cn[nH]c1-c1cc([nH]c1)C(=O)N(CC)C,erk000142,6.6,28,yes,,,series_2,yes,erk2_ligand_22,erk2_crystal_29,erk000142, CCN(C)C(=O)c1cc(c[nH]1)c2[nH]ncc2c3ccc(F)c(Cl)c3,,,,6.5999999,yes,Discard -fails metrics
FC(F)(F)c1cc(ccc1)-c1cn[nH]c1-c1cc([nH]c1)C(=O)N[C@H](CO)c1ccccc1,erk000184,7.08,26,yes,GO,good,series_2,yes,erk2_ligand_23,erk2_crystal_18,erk000184, OC[C@@H](NC(=O)c1cc(c[nH]1)c2[nH]ncc2c3cccc(c3)C(F)(F)F)c4ccccc4,,,,7.0799999,yes,CSAR
Clc1cccc(Cl)c1C1=Cc2c(nc(nc2)Nc2ccc(OCC[NH+](CC)CC)cc2)N(C)C1=O,erk000225,6.76,35,yes,GO (2.3A),good,series_3,yes,erk2_ligand_5,erk2_crystal_9,erk000225, CC[NH+](CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,,,,6.7600002,yes,Discard - poor ligand density
Clc1cc(ccc1)-c1cn[nH]c1-c1cc([nH]c1)C(=O)NCc1cc2CCOc2cc1,erk000232,7.68,33,yes,,,series_2,yes,erk2_ligand_11,erk2_crystal_8,erk000232, Clc1cccc(c1)c2cn[nH]c2c3c[nH]c(c3)C(=O)NCc4ccc5OCCc5c4,,,,7.6799998,yes,CSAR
Ic1cc(ccc1)-c1nc([nH]c1-c1ccncc1)-c1ccc(S(=O)C)cc1,erk000253,4.89,38,yes,GO (1.9A),good,series_3,yes,erk2_ligand_32,erk2_crystal_17,erk000253, CS(=O)c1ccc(cc1)c2[nH+]c(c3cccc(I)c3)c([nH]2)c4ccncc4,,,,4.8899999,yes,Discard - poor ligand density
FC(F)(F)c1cc(ccc1C[NH3+])-c1cn[nH]c1-c1cc([nH]c1)C(=O)NCc1cc2CCOc2cc1,erk000282,6.72,29,yes,,,series_2,yes,erk2_ligand_31,erk2_crystal_14,erk000282, NCc1ccc(cc1C(F)(F)F)c2cn[nH]c2c3c[nH]c(c3)C(=O)NCc4ccc5OCCc5c4,,,,6.7199998,yes,PDB
[nH]1nc(cc1Nc1nc(nc2c1cccc2)N1CCC(CC1)C)C1CC1,erk000284,7.19,,yes,,,series_3,yes,erk2_ligand_24,erk2_crystal_22,erk000284, CC1CCN(CC1)c2nc(Nc3cc([nH+][nH]3)C4CC4)c5ccccc5n2,,,,7.1900001,yes,Discard -fails metrics
Fc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000286,7.32,,no,,,series_1,,erk_ligand_1132,,erk000286, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccc(F)c(F)c3,,,,7.32,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N)c1ccccc1,erk000287,5.72,,no,,,series_1,,erk_ligand_1101,,erk000287, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,5.72,,
Clc1ccc(cc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000302,6.21,,no,,,series_1,,erk_ligand_1060,,erk000302, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccc(Cl)cc3,,,,6.21,,
Clc1cc(ccc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000303,7.09,,no,,,series_1,,erk_ligand_1004,,erk000303, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3cccc(Cl)c3,,,,7.09,,
Clc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000304,6.43,,no,,,series_1,,erk_ligand_1049,,erk000304, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccc(F)c(Cl)c3,,,,6.43,,
OCC[C@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N)c1ccccc1,erk000305,5.81,,no,,,series_1,,erk_ligand_1149,,erk000305, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)N[C@@H](CCO)c3ccccc3,,,,5.81,,
OCC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N)c1ccccc1,erk000306,4.8,1,no,,,series_1,yes,erk_ligand_1032,,erk000306, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)N[C@H](CCO)c3ccccc3,,,,4.8,,
Fc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC1CCCCC1,erk000310,7.15,,no,,,series_1,,erk_ligand_1027,,erk000310, Cc1cnc(NC2CCCCC2)nc1c3c[nH]c(c3)C(=O)NCc4ccc(F)c(F)c4,,,,7.15,,
Fc1ccccc1CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000311,5.32,,no,,,series_1,,erk_ligand_1093,,erk000311, Cc1cnc(N)nc1c2c[nH]c(c2)C(=O)NCc3ccccc3F,,,,5.32,,
O(C)c1ccccc1CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N,erk000312,5.6,,no,,,series_1,,erk_ligand_1100,,erk000312, COc1ccccc1CNC(=O)c2cc(c[nH]2)c3nc(N)ncc3C,,,,5.6,,
Clc1cc(ccc1F)CNC(=O)c1n(cc(c1)-c1nc(ncc1C)N)Cc1ccccc1,erk000317,4.96,2,no,,,series_1,yes,erk_ligand_1051,,erk000317, Cc1cnc(N)nc1c2cc(C(=O)NCc3ccc(F)c(Cl)c3)n(Cc4ccccc4)c2,,,,4.96,,
OC[C@@H](NC(=O)c1n(cc(c1)-c1nc(ncc1C)N)Cc1ccccc1)c1ccccc1,erk000319,5.4,,no,,,series_1,,erk_ligand_1056,,erk000319, Cc1cnc(N)nc1c2cc(C(=O)N[C@H](CO)c3ccccc3)n(Cc4ccccc4)c2,,,,5.4,,
Fc1cc(ccc1F)CNC(=O)c1n(cc(c1)-c1nc(ncc1C)N)C,erk000327,5.46,,no,,,series_1,,erk_ligand_1175,,erk000327, Cc1cnc(N)nc1c2cc(C(=O)NCc3ccc(F)c(F)c3)n(C)c2,,,,5.46,,
Fc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC[NH+](CC)CC,erk000364,5.4,,no,,,series_1,,erk_ligand_1260,,erk000364, CC[NH+](CC)CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3ccc(F)c(F)c3,,,,5.4,,
O=C(NCc1ccccc1)c1[nH]cc(c1)-c1nc(ncc1C)Nc1nc(nc2c1cccc2)N1CCCCC1,erk000377,5.68,,no,,,series_1,,erk_ligand_1177,,erk000377, Cc1cnc(Nc2nc(nc3ccccc23)N4CCCCC4)nc1c5c[nH]c(c5)C(=O)NCc6ccccc6,,,,5.68,,
Clc1cc(ccc1C[NH2+]CC(OCC)=O)-c1cn[nH]c1-c1cc([nH]c1)C(=O)N[C@H](CO)c1cc(Cl)c(F)cc1,erk000391,7.74,22,yes,GO (2.2A),good,series_2,yes,erk2_ligand_26,erk2_crystal_27,erk000391, CCOC(=O)CNCc1ccc(cc1Cl)c2cn[nH]c2c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccc(F)c(Cl)c4,,,,7.7399998,yes,CSAR
Clc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC,erk000393,6.55,,no,,,series_1,,erk_ligand_1255,,erk000393, CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)NCc3ccc(F)c(Cl)c3,,,,6.55,,
Clc1cc(ccc1F)[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC)CO,erk000396,7.17,,no,,,series_1,,erk_ligand_1240,,erk000396, CNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@@H](CO)c3ccc(F)c(Cl)c3,,,,7.17,,
Clc1cc(ccc1F)[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1ccccc1)CO,erk000397,8.4,,no,,,series_1,,erk_ligand_1112,,erk000397, Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@@H](CO)c4ccc(F)c(Cl)c4,,,,8.4,,
Clc1cc(ccc1F)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1ccccc1,erk000398,7.6,,no,,,series_1,,erk_ligand_1094,,erk000398, Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)NCc4ccc(F)c(Cl)c4,,,,7.6,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C1CC1)Nc1ccccc1)c1ccccc1,erk000434,6.38,,no,,,series_1,,erk_ligand_1261,,erk000434, OC[C@@H](NC(=O)c1cc(c[nH]1)c2nc(Nc3ccccc3)ncc2C4CC4)c5ccccc5,,,,6.38,,
Fc1cc(ccc1C)[C@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1ccccc1)CO,erk000435,8.7,,no,,,series_1,,erk_ligand_1200,,erk000435, Cc1ccc(cc1F)[C@@H](CO)NC(=O)c2cc(c[nH]2)c3nc(Nc4ccccc4)ncc3C,,,,8.7,,
Fc1cc(ccc1C)[C@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1cc(F)ccc1)CO,erk000436,8.22,,no,,,series_1,,erk_ligand_1211,,erk000436, Cc1ccc(cc1F)[C@@H](CO)NC(=O)c2cc(c[nH]2)c3nc(Nc4cccc(F)c4)ncc3C,,,,8.22,,
FC(F)(F)c1cc(Nc2nc(-c3cc([nH]c3)C(=O)N[C@H](CO)c3ccccc3)c(cn2)C)ccc1,erk000438,8.7,,no,,,series_1,,erk_ligand_1125,,erk000438, Cc1cnc(Nc2cccc(c2)C(F)(F)F)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,8.7,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCc1ccccc1)c1ccccc1,erk000439,7.85,,no,,,series_1,,erk_ligand_1176,,erk000439, Cc1cnc(NCc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,7.85,,
FC(F)(F)c1cc(ccc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1cc(C)c(cc1)C,erk000440,7.55,11,no,,,series_1,yes,erk_ligand_1076,,erk000440, Cc1ccc(Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)NCc4cccc(c4)C(F)(F)F)cc1C,,,,7.55,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)Nc1cc(C)c(cc1)C)c1ccccc1,erk000441,8.7,,no,,,series_1,,erk_ligand_1035,,erk000441, Cc1ccc(Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4)cc1C,,,,8.7,,
O(Cc1ccccc1)c1ccc(Nc2nc(-c3cc([nH]c3)C(=O)N[C@H](CO)c3ccccc3)c(cn2)C)cc1,erk000442,8.52,,no,,,series_1,,erk_ligand_1238,,erk000442, Cc1cnc(Nc2ccc(OCc3ccccc3)cc2)nc1c4c[nH]c(c4)C(=O)N[C@H](CO)c5ccccc5,,,,8.52,,
FC(F)(F)CNc1nc(-c2cc([nH]c2)C(=O)N[C@H](CO)c2ccccc2)c(cn1)C,erk000444,8.3,,no,,,series_1,,erk_ligand_1013,,erk000444, Cc1cnc(NCC(F)(F)F)nc1c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,8.3,,
OC[C@@H](Nc1nc(-c2cc([nH]c2)C(=O)N[C@H](CO)c2ccccc2)c(cn1)C)c1ccccc1,erk000445,9,,yes,,,series_1,yes,erk2_ligand_19,erk2_crystal_24,erk000445, Cc1cnc(N[C@H](CO)c2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,9,yes,Discard -fails metrics
O(C)c1ccccc1Nc1nc(-c2cc([nH]c2)C(=O)N[C@H](CO)c2ccccc2)c(cn1)C,erk000446,7.17,,no,,,series_1,,erk_ligand_1247,,erk000446, COc1ccccc1Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,7.17,,
FC(F)(F)Oc1ccc(Nc2nc(-c3cc([nH]c3)C(=O)N[C@H](CO)c3ccccc3)c(cn2)C)cc1,erk000447,8.7,,no,,,series_1,,erk_ligand_1188,,erk000447, Cc1cnc(Nc2ccc(OC(F)(F)F)cc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,8.7,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC(C)C)c1ccccc1,erk000448,8.52,,no,,,series_1,,erk_ligand_1067,,erk000448, CC(C)CNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,8.52,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC1CC1)c1ccccc1,erk000453,8.3,,no,,,series_1,,erk_ligand_1229,,erk000453, Cc1c[nH+]c(NCC2CC2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,8.3,,
OCC[C@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC)c1ccccc1,erk000459,6.3,,no,,,series_1,,erk_ligand_1243,,erk000459, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@@H](CCO)c3ccccc3,,,,6.3,,
OCC1(Nc2nc(-c3cc([nH]c3)C(=O)N[C@H](CO)c3ccccc3)c(cn2)C)CC1,erk000460,9,,no,,,series_1,,erk_ligand_1010,,erk000460, Cc1cnc(NC2(CO)CC2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,9,,
OCCNc1nc(-c2cc([nH]c2)C(=O)N[C@H](CO)c2ccccc2)c(cn1)C,erk000461,7.77,12,no,,,series_1,yes,erk_ligand_1199,,erk000461, Cc1c[nH+]c(NCCO)nc1c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7.77,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N[C@@H](CO)C)c1ccccc1,erk000462,7.85,,no,,,series_1,,erk_ligand_1078,,erk000462, C[C@H](CO)Nc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7.85,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC[C@H](O)C)c1ccccc1,erk000463,7.57,,no,,,series_1,,erk_ligand_1147,,erk000463, C[C@@H](O)CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7.57,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NC[C@@H](O)C)c1ccccc1,erk000464,7.43,,no,,,series_1,,erk_ligand_1070,,erk000464, C[C@H](O)CNc1nc(c(C)c[nH+]1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7.43,,
O[C@@H]1CCCC[C@@H]1Nc1nc(-c2cc([nH]c2)C(=O)N[C@H](CO)c2ccccc2)c(cn1)C,erk000465,8.15,,no,,,series_1,,erk_ligand_1193,,erk000465, Cc1cnc(N[C@H]2CCCC[C@H]2O)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,,,,8.15,,
O(C(=O)[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC)c1ccccc1)C,erk000470,6,,no,,,series_1,,erk_ligand_1263,,erk000470, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@H](C(=O)OC)c3ccccc3,,,,6,,
OC[C@@H](NC(=O)c1[nH]cc(c1)-c1nc(ncc1C)N[C@H](CO)C)c1ccccc1,erk000471,7.82,,no,,,series_1,,erk_ligand_1054,,erk000471, C[C@@H](CO)Nc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)N[C@H](CO)c3ccccc3,,,,7.82,,
Fc1ccccc1CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000473,6.1,,no,,,series_1,,erk_ligand_1237,,erk000473, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3ccccc3F,,,,6.1,,
Fc1cc(ccc1)CNC(=O)c1[nH]cc(c1)-c1nc(ncc1C)NCC,erk000474,7.08,,no,,,series_1,,erk_ligand_1011,,erk000474, CCNc1ncc(C)c(n1)c2c[nH]c(c2)C(=O)NCc3cccc(F)c3,,,,7.08,,
